Rk,Nation,# Players,Min,List
1,eng England,160,"258,517","Wayne Rooney, Frank Lampard, Darren Bent, Kevin Davies, Darius Vassell, Marlon Harewood, Kevin Nolan, Steven Gerrard, Dean Whitehead, Alan Shearer ..."
2,fr France,35,"49,835","Thierry Henry, Steed Malbranque, Pascal Chimbonda, William Gallas, Charles N'Zogbia, Robert Pirès, Mikaël Silvestre, Sylvain Distin, Djibril Cissé, Jean-Alain Boumsong ..."
3,ie Ireland,29,"47,043","Robbie Keane, Shay Given, Steve Finnan, Steven Reid, Gary Breen, John O'Shea, Richard Dunne, Graham Kavanagh, Andy O'Brien, Kenny Cunningham ..."
4,sco Scotland,21,"24,109","Lee McCulloch, David Weir, James McFadden, Darren Fletcher, James Morrison, Steven Caldwell, Gary Teale, Paul Dickov, Richard Hughes, Andy Gray ..."
,,,,View Complete Nationalities Table
