Rk,Nation,# Players,Min,List
1,eng England,159,"249,577","Ashley Young, Gareth Barry, Gabby Agbonlahor, Stewart Downing, David Bentley, Steven Gerrard, Wayne Rooney, Nicky Shorey, Joleon Lescott, James Harper ..."
2,ie Ireland,28,"45,314","Robbie Keane, Stephen Hunt, Kevin Doyle, Stephen Kelly, Stephen Ireland, Lee Carsley, Kevin Kilbane, Richard Dunne, Andy O'Brien, Daryl Murphy ..."
3,fr France,27,"43,826","Nicolas Anelka, Gaël Clichy, Steed Malbranque, Sylvain Distin, Pascal Chimbonda, Mathieu Flamini, William Gallas, Jérémie Aliadière, Charles N'Zogbia, Patrice Evra ..."
4,wal Wales,18,"18,925","Simon Davies, Danny Collins, Ryan Giggs, Jason Koumas, Robbie Savage, John Oster, Gary Speed, Robert Earnshaw, Craig Bellamy, Gareth Bale ..."
,,,,View Complete Nationalities Table
