Rk,Nation,# Players,Min,List
1,eng England,174,"274,381","Kevin Phillips, David Beckham, Lee Bowyer, Paul Merson, Emile Heskey, Graham Stuart, Alan Smith, Teddy Sheringham, Dennis Wise, Steve Howey ..."
2,sco Scotland,34,"42,544","Don Hutchison, David Weir, Stuart McCall, Matt Elliott, Neil Sullivan, Gary McAllister, Paul Telfer, Dominic Matteo, Scot Gemmill, Craig Burley ..."
3,ie Ireland,30,"52,433","Matt Holland, Ian Harte, Niall Quinn, Rory Delap, Roy Keane, Shay Given, Kevin Kilbane, Stephen Carr, Mark Kinsella, Gary Breen ..."
4,fr France,23,"36,125","Thierry Henry, Patrick Vieira, Robert Pirès, Olivier Dacourt, Christian Karembeu, Marcel Desailly, Sylvain Wiltord, Fabien Barthez, Gilles Grimandi, Laurent Charvet ..."
,,,,View Complete Nationalities Table
