Rk,Nation,# Players,Min,List
1,eng England,237,"266,400","Jamie Vardy, Danny Ings, Marcus Rashford, Trent Alexander-Arnold, Raheem Sterling, Jack Grealish, Harry Kane, James Ward-Prowse, Dwight McNeil, Mason Mount ..."
2,es Spain,32,"49,233","César Azpilicueta, Adama Traoré, David de Gea, David Silva, Jonny Castro, Vicente Guaita, Ayoze Pérez, Kepa Arrizabalaga, Rodri, Gerard Deulofeu ..."
3,fr France,31,"50,199","Anthony Martial, Neal Maupay, Abdoulaye Doucouré, Lucas Digne, Alexandre Lacazette, Issa Diop, Sébastien Haller, Étienne Capoue, Moussa Sissoko, Allan Saint-Maximin ..."
4,ie Ireland,30,"26,504","Enda Stevens, Matt Doherty, John Egan, Jeff Hendrick, Conor Hourihane, David McGoldrick, Séamus Coleman, Shane Long, James McCarthy, Aaron Connolly ..."
,,,,View Complete Nationalities Table
