Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,BbAvH,BbAvD,BbAvA
E0,23/08/2002,Chelsea,Man United,2,2,D,2,1,H,G Poll,11,9,5,7,13,9,3,3,3,2,0,0,2.75,3.25,2.25,2.79,3.26,2.45,2.5,3,2.5,2.75,3.2,2.25,2.75,3.25,2.25,2.875,3.1,2.375,2.7,3,2.37,1.65,1.97,,,2.730714286,3.151428571,2.349285714
E0,24/08/2002,Birmingham,Blackburn,0,1,A,0,1,A,D Gallagher,15,13,10,9,10,17,6,4,1,2,0,0,2.625,3.2,2.375,2.6,3.25,2.52,2.6,3,2.4,2.4,3.25,2.5,2.63,3.2,2.38,2.625,3.2,2.5,2.5,3.1,2.5,1.87,1.75,,,2.568571429,3.171428571,2.453571429
E0,24/08/2002,Bolton,Charlton,1,2,A,1,1,D,M Messias,15,8,9,4,9,11,4,6,1,1,0,0,2.1,3.25,3,2.26,3.2,3.1,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,3,2.1,3.1,3.1,1.85,1.85,,,2.18,3.185714286,2.95
E0,24/08/2002,Liverpool,Southampton,3,0,H,1,0,H,J Winter,16,7,9,1,11,8,5,8,0,1,0,0,1.333,4.333,7.5,1.36,4.4,9.2,1.3,4.2,8,1.364,3.75,8,1.29,4.5,8.5,1.333,4.333,9,1.28,4.33,8.5,1.74,1.9,,,1.322857143,4.263714286,8.385714286
E0,24/08/2002,Man City,Newcastle,1,0,H,1,0,H,U Rennie,20,9,12,6,12,14,6,8,1,1,0,0,2.5,3.2,2.5,2.83,3.25,2.4,2.7,3,2.3,2.75,3.25,2.2,2.75,3.25,2.25,2.7,3.25,2.4,2.62,3.25,2.3,1.77,1.97,,,2.692857143,3.207142857,2.335714286
E0,24/08/2002,Middlesbrough,Fulham,2,2,D,1,0,H,M Dean,6,10,3,4,18,7,8,11,4,2,0,0,2,3.25,3.25,2.07,3.2,3.55,2,3.1,3.2,2,3.4,3,2,3.25,3.25,2.05,3.1,3.5,1.83,3.2,3.75,1.92,1.8,,,1.992857143,3.214285714,3.357142857
E0,24/08/2002,Sunderland,Everton,0,1,A,0,1,A,R Styles,13,11,3,5,10,15,10,4,1,0,0,0,2.1,3,3.25,2.08,3.15,3.35,2,3.1,3.2,2.1,3.2,3,2,3.25,3.25,2.1,3.2,3.25,2.1,3.1,3.1,1.97,1.8,,,2.068571429,3.142857143,3.2
E0,24/08/2002,Tottenham,Aston Villa,1,0,H,1,0,H,C Wilkes,8,18,3,8,20,15,2,5,2,0,0,0,1.833,3.25,3.75,1.98,3.2,3.9,1.9,3.1,3.5,1.909,3.2,3.5,1.83,3.25,3.75,1.95,3.2,3.75,1.8,3.1,4,1.75,1.85,,,1.886,3.185714286,3.735714286
E0,24/08/2002,West Brom,Leeds,1,3,A,0,1,A,S Dunn,12,11,2,4,9,11,7,3,1,1,0,0,3.75,3.25,1.833,4.1,3.35,1.86,3.5,3.1,1.9,4,3.2,1.8,4.5,3.4,1.67,3.8,3.25,1.909,4.2,3.25,1.72,1.85,1.75,,,3.978571429,3.257142857,1.813142857
E0,24/08/2002,West Ham,Arsenal,2,2,D,1,0,H,N Barry,8,9,4,5,18,14,4,4,2,5,0,0,4,3.5,1.727,4.85,3.5,1.75,4.2,3.2,1.7,4,3.4,1.727,4.33,3.25,1.73,4.75,3.3,1.727,4.33,3.2,1.72,1.75,1.87,,,4.351428571,3.335714286,1.725857143
E0,27/08/2002,Arsenal,West Brom,5,2,H,3,0,H,P Durkin,10,8,8,6,9,9,1,1,3,2,0,0,1.17,5.5,13,1.15,6.5,12,1.2,5,10,1.2,5,11,1.18,6,13,1.17,5.5,13,1.16,5.5,12,,,,,1.175714286,5.571428571,12
E0,27/08/2002,Charlton,Tottenham,0,1,A,0,1,A,A Wiley,10,7,5,1,9,23,6,9,1,2,0,0,2.4,3.2,2.6,2.5,3.25,2.5,2.3,3,2.7,2.4,3.25,2.5,2.5,3.2,2.62,2.5,3.2,2.5,2.5,3.1,2.5,1.8,1.8,,,2.442857143,3.171428571,2.56
E0,28/08/2002,Aston Villa,Man City,1,0,H,0,0,D,D Pugh,11,7,6,1,13,11,5,4,1,3,0,0,2.2,3.25,2.8,2.25,3.2,2.85,2.1,3,3.1,2.2,3.25,2.75,2.25,3.25,2.9,2.25,3.25,2.75,2.2,3.2,2.8,1.8,1.9,,,2.207142857,3.2,2.85
E0,28/08/2002,Blackburn,Liverpool,2,2,D,1,1,D,S Bennett,7,5,4,3,17,10,5,2,3,1,0,0,3,3.25,2.1,3,3.25,2.15,2.8,2.9,2.3,3.4,3.25,1.91,3,3.25,2.2,3.25,3.25,2,3,3.2,2.1,1.9,1.8,,,3.064285714,3.192857143,2.108571429
E0,28/08/2002,Everton,Birmingham,1,1,D,0,0,D,E Wolstenholme,11,5,4,2,18,12,7,4,0,3,1,0,1.67,3.4,4.5,1.65,3.3,5,1.6,3.4,4.6,1.67,3.25,4.5,1.62,3.4,5.5,1.67,3.4,4.5,1.66,3.3,4.5,1.85,1.75,,,1.648571429,3.35,4.728571429
E0,28/08/2002,Leeds,Sunderland,0,1,A,0,0,D,M Halsey,20,9,9,4,13,11,8,1,2,0,0,0,1.5,3.4,6.5,1.4,3.8,7.5,1.4,3.9,6,1.44,3.6,6.5,1.5,3.6,6.5,1.44,3.6,7,1.36,3.75,8,1.92,1.85,,,1.434285714,3.664285714,6.857142857
E0,28/08/2002,Southampton,Chelsea,1,1,D,0,0,D,C Foy,12,10,4,3,16,11,5,6,2,1,0,0,3,3.25,2.1,3,3.25,2.15,3.2,3.1,2,2.75,3.25,2.2,3,3.25,2.2,3,3.25,2.1,3.2,3.2,2,1.85,1.79,,,3.021428571,3.221428571,2.107142857
E0,31/08/2002,Birmingham,Leeds,2,1,H,1,0,H,P Durkin,9,8,5,6,14,16,2,5,3,3,0,0,4,3.25,1.8,4.2,3.42,1.91,3.5,3.1,1.9,4.333,3.4,1.667,4,3.2,1.8,4,3.25,1.85,4,3.1,1.8,1.85,1.75,,,4.004714286,3.245714286,1.818142857
E0,31/08/2002,Man City,Everton,3,1,H,2,1,H,B Knight,7,14,6,8,12,11,7,6,1,0,1,0,1.727,3.25,4.333,1.8,3.3,4.1,1.8,3.1,3.8,1.8,3.2,4,1.8,3.2,4,1.85,3.25,4,1.72,3.2,4.33,1.75,1.86,,,1.785285714,3.214285714,4.080428571
E0,31/08/2002,Middlesbrough,Blackburn,1,0,H,0,0,D,M Halsey,7,10,3,7,19,16,8,6,3,3,0,0,2.2,3.25,2.8,2.22,3,3.2,2.2,3,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.9,2.2,3.2,2.8,1.85,1.75,,,2.217142857,3.171428571,2.871428571
E0,31/08/2002,Sunderland,Man United,1,1,D,0,1,A,U Rennie,12,20,5,10,13,16,6,8,1,2,0,1,5,3.4,1.615,5.6,3.6,1.6,4.4,3.3,1.65,4.5,3.25,1.667,5,3.5,1.57,5.5,3.4,1.615,5.5,3.4,1.53,1.65,1.95,,,5.071428571,3.407142857,1.606714286
E0,31/08/2002,Tottenham,Southampton,2,1,H,1,1,D,M Dean,18,15,8,8,16,13,12,6,3,1,0,1,1.667,3.4,4.5,1.63,3.45,5,1.65,3.3,4.4,1.571,3.5,5,1.62,3.4,5,1.615,3.4,5.5,1.57,3.3,5.5,1.85,1.85,,,1.617571429,3.392857143,4.985714286
E0,31/08/2002,West Brom,Fulham,1,0,H,0,0,D,R Styles,8,6,5,1,17,16,5,7,4,3,0,0,2.625,3.2,2.375,2.85,3.2,2.32,2.7,3,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.875,3.2,2.3,2.87,3.1,2.2,1.85,1.75,,,2.781428571,3.164285714,2.277857143
E0,31/08/2002,West Ham,Charlton,0,2,A,0,2,A,J Winter,9,5,4,3,11,15,8,6,3,1,0,0,1.727,3.5,4,1.73,3.4,4.2,1.7,3.2,4.2,1.667,3.4,4.333,1.73,3.25,4.33,1.8,3.25,4.333,1.72,3.2,4.33,1.85,1.85,,,1.724857143,3.314285714,4.246571429
E0,1/9/2002,Bolton,Aston Villa,1,0,H,0,0,D,S Dunn,13,12,6,5,9,11,4,5,2,3,0,0,2.5,3,2.625,2.53,3.15,2.7,2.4,3,2.6,2.6,3.2,2.375,2.63,3.2,2.38,2.5,3.2,2.625,2.5,3.1,2.5,1.9,1.9,,,2.522857143,3.121428571,2.543571429
E0,1/9/2002,Chelsea,Arsenal,1,1,D,1,0,H,A D'Urso,8,8,2,5,20,16,6,2,5,2,0,1,3,3,2.25,2.88,3.25,2.4,2.7,3,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.9,3.2,2.25,2.87,3,2.25,1.75,1.91,,,2.842857143,3.128571429,2.271428571
E0,2/9/2002,Liverpool,Newcastle,2,2,D,0,0,D,G Poll,22,11,11,6,7,25,12,3,1,2,0,0,1.615,3.4,5,1.67,3.56,4.86,1.65,3.3,4.4,1.571,3.5,5,1.62,3.4,5,1.667,3.4,5,1.66,3.3,4.5,1.75,1.91,,,1.636142857,3.408571429,4.822857143
E0,3/9/2002,Man United,Middlesbrough,1,0,H,1,0,H,M Riley,7,5,1,3,13,12,4,6,1,2,0,0,1.333,4,9,1.33,4.68,9,1.35,4,7,1.286,4.5,8,1.29,4.5,8.5,1.333,4.5,8.5,,,,1.72,1.95,,,1.320333333,4.363333333,8.333333333
E0,10/9/2002,Arsenal,Man City,2,1,H,2,1,H,C Wilkes,13,5,5,4,16,14,7,6,1,2,0,1,1.333,4.333,7.5,1.43,4.2,8,1.3,4.2,8,1.3,4.333,8,1.33,4,8.5,1.333,4.5,8,1.3,4.33,8,1.65,2.22,,,1.332285714,4.270857143,8
E0,10/9/2002,Middlesbrough,Sunderland,3,0,H,2,0,H,A Wiley,9,8,7,6,16,12,6,8,3,3,0,0,2.1,3,3.25,2.11,3.05,3.45,2,3,3.3,2,3,3.4,1.91,3,3.75,2.1,3.1,3.4,2,3,3.4,2.05,1.68,,,2.031428571,3.021428571,3.421428571
E0,11/9/2002,Aston Villa,Charlton,2,0,H,0,0,D,G Poll,12,8,5,2,16,16,6,2,0,1,0,0,1.8,3.25,4,1.96,3.25,4.12,1.9,3.1,3.5,1.909,3.2,3.5,1.83,3.25,3.75,1.85,3.25,4,1.8,3.25,3.8,1.93,1.83,,,1.864142857,3.221428571,3.81
E0,11/9/2002,Blackburn,Chelsea,2,3,A,2,1,H,M Riley,11,14,6,9,15,16,9,4,2,3,0,0,2.5,3.2,2.5,2.61,3,2.7,2.5,3,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.7,2.37,3.1,2.62,1.9,1.73,,,2.497142857,3.114285714,2.574285714
E0,11/9/2002,Fulham,Tottenham,3,2,H,0,2,A,M Halsey,13,7,8,4,8,11,9,6,0,1,0,0,2.375,3.2,2.625,2.55,3.2,2.6,2.5,3,2.5,2.375,3.2,2.6,2.5,3.2,2.5,2.4,3.1,2.8,2.4,3.1,2.6,2,1.72,,,2.442857143,3.142857143,2.603571429
E0,11/9/2002,Liverpool,Birmingham,2,2,D,1,0,H,N Barry,12,6,10,3,6,10,1,2,0,1,0,0,1.25,4.5,11,1.27,4.6,12,1.25,4.5,9,1.333,3.75,9,1.25,4.5,10,1.286,4.6,10,1.28,4.5,8,1.7,1.97,,,1.274142857,4.421428571,9.857142857
E0,11/9/2002,Man United,Bolton,0,1,A,0,0,D,G Barber,23,10,14,8,10,11,9,6,1,2,0,0,1.2,5.5,10,1.24,5.5,12.5,1.25,4.5,9,1.222,5,10,1.2,5.5,11,1.2,5.5,12,1.22,5,9.5,1.56,2.25,,,1.218857143,5.214285714,10.57142857
E0,11/9/2002,Newcastle,Leeds,0,2,A,0,1,A,D Gallagher,22,14,11,6,15,12,10,7,3,2,0,0,2.1,3.25,3,2.13,3.2,3.19,1.9,3.1,3.5,2.2,3.2,2.8,2,3.25,3.25,2.2,3.2,3.1,2,3.2,3.2,1.77,1.95,,,2.075714286,3.2,3.148571429
E0,11/9/2002,Southampton,Everton,1,0,H,0,0,D,S Bennett,11,18,7,10,13,19,4,13,3,3,0,0,2,3.25,3.25,1.9,3.3,3.5,2,3.1,3.2,2,3.2,3.2,2.1,3.25,3,2.1,3.25,3.25,2,3.2,3.2,1.94,1.72,,,2.014285714,3.221428571,3.228571429
E0,11/9/2002,West Ham,West Brom,0,1,A,0,1,A,A D'Urso,5,6,3,5,11,15,8,4,1,0,0,0,1.571,3.4,5.5,1.6,3.45,5.5,1.6,3.4,4.6,1.615,3.5,4.5,1.53,3.4,6,1.571,3.4,6,1.61,3.3,5,1.77,1.9,,,1.585285714,3.407142857,5.3
E0,14/09/2002,Bolton,Liverpool,2,3,A,0,1,A,R Styles,7,12,5,8,10,9,7,4,2,2,0,0,4.333,3.25,1.727,4.75,3.3,1.77,3.8,3.1,1.8,5,3.25,1.615,4.5,3.4,1.67,4.333,3.4,1.75,4.33,3.2,1.72,1.75,1.9,,,4.435142857,3.271428571,1.721714286
E0,14/09/2002,Charlton,Arsenal,0,3,A,0,1,A,S Dunn,9,10,3,8,8,13,1,6,0,3,0,0,5,3.4,1.615,4.75,3.4,1.73,4.2,3.2,1.7,4.5,3.25,1.667,5,3.4,1.62,5,3.4,1.667,4.5,3.3,1.66,1.73,1.9,,,4.707142857,3.335714286,1.665571429
E0,14/09/2002,Chelsea,Newcastle,3,0,H,2,0,H,B Knight,7,5,5,0,9,9,2,4,1,4,0,0,1.909,3.25,3.5,2.05,3.25,3.25,1.8,3.1,3.8,2,3.2,3.2,2,3.25,3.25,2,3.25,3.5,2,3.2,3.2,1.7,1.9,,,1.965571429,3.214285714,3.385714286
E0,14/09/2002,Everton,Middlesbrough,2,1,H,1,1,D,M Messias,13,10,8,5,18,12,10,4,2,1,0,0,2.3,3.2,2.7,2.25,3.25,2.85,2.3,3,2.7,2.25,3.2,2.75,2.2,3.25,2.8,2.3,3.2,2.875,2.37,3.1,2.62,1.95,1.75,,,2.281428571,3.171428571,2.756428571
E0,14/09/2002,Leeds,Man United,1,0,H,0,0,D,J Winter,8,6,2,5,15,12,4,7,2,1,0,0,2.75,3,2.375,2.9,3.25,2.41,2.7,3,2.3,2.6,3.2,2.375,2.88,3.2,2.2,2.875,3.2,2.3,2.87,3,2.25,1.75,1.85,,,2.796428571,3.121428571,2.315714286
E0,14/09/2002,Sunderland,Fulham,0,3,A,0,1,A,C Foy,8,5,5,4,12,13,11,6,2,2,0,0,2.1,3.25,3,2.21,3.25,2.95,2.2,3,2.9,2.25,3.2,2.75,2.2,3.25,2.8,2.2,3.25,3,2.2,3.2,2.8,1.92,1.75,,,2.194285714,3.2,2.885714286
E0,14/09/2002,West Brom,Southampton,1,0,H,0,0,D,D Gallagher,11,10,7,5,14,14,0,7,2,1,0,1,2.25,3.25,2.75,2.25,3.2,2.9,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.25,2.9,2.2,3.2,2.8,1.9,1.7,,,2.221428571,3.2,2.828571429
E0,15/09/2002,Man City,Blackburn,2,2,D,0,1,A,M Dean,15,12,7,8,13,13,15,5,3,3,1,0,1.909,3.25,3.5,2.05,3.2,3.3,2.1,3,3.1,2,3.2,3.2,2,3.25,3.25,2.05,3.2,3.4,2,3.2,3.2,1.67,2,,,2.015571429,3.185714286,3.278571429
E0,15/09/2002,Tottenham,West Ham,3,2,H,0,0,D,U Rennie,12,11,3,1,16,16,5,6,2,2,0,1,1.667,3.4,4.5,1.8,3.25,4.35,1.8,3.1,3.8,1.727,3.2,4.333,1.67,3.4,4.5,1.727,3.4,4.5,1.72,3.2,4.33,1.82,1.9,,,1.730142857,3.278571429,4.330428571
