Rk,Nation,# Players,Min,List
1,eng England,210,"223,385","Raheem Sterling, Jamie Vardy, Callum Wilson, Harry Kane, Nathan Redmond, James Maddison, Andros Townsend, Troy Deeney, Marcus Rashford, Glenn Murray ..."
2,es Spain,35,"51,475","Ayoze Pérez, César Azpilicueta, David Silva, David de Gea, Gerard Deulofeu, Víctor Camarasa, Marcos Alonso, Kepa Arrizabalaga, Jonny Castro, Pedro ..."
3,fr France,30,"55,606","Paul Pogba, Alexandre Lacazette, Abdoulaye Doucouré, N'Golo Kanté, Lucas Digne, Aymeric Laporte, Willy Boly, Étienne Capoue, Issa Diop, Kurt Zouma ..."
4,br Brazil,19,"35,839","Roberto Firmino, Felipe Anderson, Richarlison, David Luiz, Ederson, Alisson, Lucas Moura, Willian, Fernandinho, Bernard ..."
,,,,View Complete Nationalities Table
