Rk,Nation,# Players,Min,List
1,eng England,188,"269,031","Wayne Rooney, Scott Sinclair, Theo Walcott, Danny Graham, Peter Crouch, Matt Jarvis, Grant Holt, Gabby Agbonlahor, Frank Lampard, Nigel Reo-Coker ..."
2,ie Ireland,36,"55,723","Jonathan Walters, Stephen Ward, Kevin Doyle, Wes Hoolahan, James McCarthy, Shane Long, Marc Wilson, Paddy Kenny, Shay Given, Anthony Pilkington ..."
3,fr France,29,"41,643","Yohan Cabaye, Patrice Evra, Samir Nasri, Steven Nzonzi, Laurent Koscielny, Younès Kaboul, Gaël Clichy, Charles N'Zogbia, David N'Gog, Hatem Ben Arfa ..."
4,sco Scotland,21,"32,059","Steven Fletcher, Gary Caldwell, Russell Martin, James Morrison, Jamie Mackie, Charlie Adam, Alan Hutton, Christophe Berra, Phil Bardsley, James McArthur ..."
,,,,View Complete Nationalities Table
