Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,BbAvH,BbAvD,BbAvA
E0,23/08/03,Newcastle,Man United,1,2,A,1,0,H,U Rennie,7,11,5,8,18,14,2,4,2,2,0,0,3,3.2,2.2,3.1,3.4,2.1,3.1,3,2.1,2.75,3.25,2.2,3,3.4,2.2,3,3.25,2.1,2.87,3.1,2.2,1.65,2.05,1.7,2.1,2.3,1.6,0,2.1,1.75,0.25,2.025,1.875,0.25,2.974285714,3.228571429,2.157142857
E0,23/08/03,Southampton,Birmingham,0,0,D,0,0,D,Graham Barber,14,12,7,5,15,19,2,7,3,1,0,0,1.909,3.25,3.75,2,3.2,3.6,1.9,3.1,3.5,2,3.2,3.2,1.91,3.25,3.5,1.9,3.2,3.6,1.9,3.2,3.5,2,1.71,2.1,1.7,1.95,1.85,-0.5,2,1.85,-0.5,2,1.9,-0.5,1.931285714,3.2,3.521428571
E0,23/08/03,Tottenham,Leeds,2,1,H,1,1,D,S Dunn,20,5,4,2,14,14,6,0,1,2,0,0,2,3.25,3.4,2.1,3.2,3.3,2,3.1,3.2,2.1,3.2,3,2.1,3.25,3,2.2,3.2,2.9,2.1,3.2,3,1.85,1.85,1.95,1.85,2,1.8,-0.25,2,1.85,-0.25,2.025,1.875,-0.25,2.085714286,3.2,3.114285714
E0,23/08/03,Wolves,Charlton,0,4,A,0,4,A,P Dowd,10,8,4,6,11,7,5,2,2,1,0,1,2.375,3.25,2.7,2.35,3.3,2.75,2.2,3,2.9,2.25,3.2,2.75,2.38,3.2,2.62,2.25,3.2,2.8,2.25,3.1,2.8,1.85,1.85,2.05,1.75,2.05,1.75,-0.25,2.05,1.8,-0.25,1.8,2.1,0,2.293571429,3.178571429,2.76
E0,24/08/03,Aston Villa,Liverpool,0,0,D,0,0,D,P Durkin,14,15,9,9,16,7,8,9,0,1,0,0,3,3.2,2.2,3.1,3.3,2.15,3.1,3,2.1,2.75,3.25,2.2,3,3.4,2.2,2.87,3.2,2.2,3.1,3.1,2.1,1.85,1.85,2.05,1.75,1.95,1.85,0.25,,,,1.95,1.95,0.25,2.988571429,3.207142857,2.164285714
E0,24/08/03,Middlesbrough,Arsenal,0,4,A,0,3,A,D Gallagher,10,14,4,10,11,7,3,5,1,0,0,0,4,3.4,1.8,4.4,3.4,1.75,3.8,3.1,1.8,4,3.2,1.8,4.33,3.4,1.8,4.33,3.25,1.72,4.2,3.25,1.72,1.75,1.95,1.95,1.85,1.65,2.2,1,2.05,1.8,0.5,2.05,1.85,0.5,4.151428571,3.285714286,1.77
E0,25/08/03,Blackburn,Man City,2,3,A,1,1,D,A Wiley,14,13,10,5,14,10,9,0,2,1,0,0,2,3.25,3.4,2,3.2,3.5,1.85,3.1,3.6,2,3.4,3,1.91,3.5,3.75,1.9,3.25,3.5,2,3.2,3.2,1.79,1.9,1.9,1.9,1.95,1.85,-0.5,2,1.85,-0.5,2.1,1.8,-0.5,1.951428571,3.271428571,3.421428571
E0,26/08/03,Charlton,Everton,2,2,D,1,1,D,S Dunn,10,13,4,4,8,8,6,8,1,1,0,0,2.375,3.2,2.75,2.4,3.25,2.7,2.2,3,2.9,2.25,3.2,2.75,2.25,3.25,2.75,2.3,3.2,2.7,2.4,3.1,2.6,1.85,1.9,1.95,1.85,1.75,2.05,0,1.75,2.1,0,,,,2.310714286,3.171428571,2.735714286
E0,26/08/03,Leeds,Southampton,0,0,D,0,0,D,P Durkin,15,14,6,8,10,11,6,10,2,3,0,0,2,3.25,3.4,2.05,3.25,3.35,1.9,3.1,3.5,2,3.4,3,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2,1.85,1.85,2,1.8,1.8,2,-0.25,1.85,2,-0.25,,,,1.992857143,3.242857143,3.278571429
E0,26/08/03,Leicester,Middlesbrough,0,0,D,0,0,D,G Barber,12,13,4,3,17,16,6,4,3,2,0,0,2.5,3.2,2.6,2.4,3.25,2.7,2.3,3,2.7,2.375,3.2,2.6,2.25,3.25,2.75,2.37,3.2,2.62,2.37,3.1,2.62,1.9,1.79,2.05,1.75,1.8,2,0,1.8,2.05,0,,,,2.366428571,3.171428571,2.655714286
E0,26/08/03,Portsmouth,Bolton,4,0,H,0,0,D,D Gallagher,13,13,8,4,12,14,0,4,2,4,0,0,2.1,3.25,3.2,2.1,3.25,3.25,2.2,3,2.9,2.1,3.2,3,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2,1.9,1.79,1.95,1.85,1.8,2,-0.25,1.8,2.05,-0.25,,,,2.071428571,3.2,3.15
E0,27/08/03,Arsenal,Aston Villa,2,0,H,0,0,D,M Dean,14,6,6,3,16,16,2,6,3,4,0,0,1.286,5,8.5,1.26,5,10,1.3,4.2,8,1.25,4.5,10,1.25,5,8.5,1.25,5,8.5,1.28,4.5,8,1.6,2.15,1.8,2,1.8,2,-1.5,2.05,1.8,-1.75,1.875,2.025,-1.5,1.268,4.742857143,8.785714286
E0,27/08/03,Liverpool,Tottenham,0,0,D,0,0,D,U Rennie,22,9,10,4,20,27,8,5,2,5,0,0,1.5,3.5,7,1.53,3.5,6.5,1.55,3.5,4.8,1.533,3.5,5.5,1.57,3.4,5.5,1.53,3.4,6,1.5,3.4,6,1.79,1.9,1.95,1.85,2,1.8,-1,2.05,1.8,-1,2.1,1.8,-1,1.530428571,3.457142857,5.9
E0,27/08/03,Man United,Wolves,1,0,H,0,0,D,G Poll,14,12,5,2,6,12,10,2,2,2,0,0,1.143,6.5,15,1.13,7,16,1.15,6,12,1.167,5.5,12,1.12,7.5,17,1.12,6,17,1.11,6.5,15,1.4,2.65,1.44,2.62,1.8,2,-2.25,1.85,2,-2.25,1.875,2.025,-2.25,1.134285714,6.428571429,14.85714286
E0,30/08/03,Aston Villa,Leicester,3,1,H,3,0,H,S Bennett,10,5,8,4,18,17,11,1,1,2,0,1,1.667,3.4,5,1.7,3.4,4.7,1.75,3.2,4,1.667,3.25,4.5,1.73,3.25,4.33,1.72,3.25,4.33,1.72,3.2,4.33,1.85,1.85,2.05,1.75,2.2,1.65,-1,,,,2.075,1.825,-0.75,1.707714286,3.278571429,4.455714286
E0,30/08/03,Bolton,Charlton,0,0,D,0,0,D,A Wiley,13,7,9,1,18,16,12,3,4,2,0,0,2.3,3.25,2.8,2.3,3.3,2.8,2.1,3.1,3,2.25,3.2,2.75,2.1,3.25,3,2.1,3.25,3,2.2,3.25,2.75,1.9,1.79,1.95,1.85,1.95,1.85,-0.25,2,1.85,-0.25,2.05,1.85,-0.25,2.192857143,3.228571429,2.871428571
E0,30/08/03,Chelsea,Blackburn,2,2,D,1,1,D,M Dean,12,7,5,4,11,19,3,4,0,4,0,0,1.5,3.6,6.5,1.53,3.55,6.25,1.55,3.5,4.8,1.4,3.75,7,1.44,3.75,6.5,1.44,3.75,6.5,1.5,3.4,6,1.6,2.15,1.8,2,2.2,1.65,-1.25,1.8,2.05,-1,2.1,1.8,-1.25,1.48,3.614285714,6.221428571
E0,30/08/03,Everton,Liverpool,0,3,A,0,1,A,M Riley,11,18,5,11,22,17,9,5,3,3,0,0,2.6,3.2,2.5,2.65,3.1,2.55,2.5,3,2.5,2.5,3.2,2.5,2.6,3.25,2.6,2.5,3.2,2.5,2.5,3.1,2.5,1.9,1.79,2,1.8,2,1.8,0,2.05,1.8,0,2.075,1.825,0,2.55,3.15,2.521428571
E0,30/08/03,Middlesbrough,Leeds,2,3,A,0,1,A,N Barry,27,8,16,4,17,21,6,3,2,3,0,0,2,3.25,3.4,2.2,3.25,3,2.1,3,3.1,2,3.2,3.2,2.1,3.25,3,2.1,3.25,3,2,3.2,3.2,1.85,1.85,2,1.8,1.85,1.95,-0.25,1.8,2.05,-0.25,1.85,2.05,-0.25,2.071428571,3.2,3.128571429
E0,30/08/03,Newcastle,Birmingham,0,1,A,0,0,D,M Messias,19,7,10,3,15,15,9,6,2,1,0,0,1.533,3.4,6.5,1.55,3.55,6.1,1.55,3.5,4.8,1.5,3.4,6,1.5,3.5,6,1.5,3.5,6,1.5,3.4,6,1.75,1.95,1.8,2,2,1.8,-1,2.1,1.75,-1,2.075,1.825,-1,1.519,3.464285714,5.914285714
E0,30/08/03,Tottenham,Fulham,0,3,A,0,1,A,J Winter,18,9,6,5,15,13,9,4,0,2,0,0,1.667,3.4,5,1.75,3.4,4.4,1.8,3.1,3.8,1.727,3.2,4.333,1.67,3.4,4.5,1.72,3.25,4.33,1.72,3.2,4.33,1.85,1.85,2,1.8,1.7,2.1,-0.5,2,1.85,-0.75,2,1.9,-0.75,1.722,3.278571429,4.384714286
E0,30/08/03,Wolves,Portsmouth,0,0,D,0,0,D,A D'Urso,11,9,2,2,15,16,4,6,3,5,0,0,2.75,3.2,2.375,2.7,3.3,2.4,2.4,3.2,2.4,2.625,3.4,2.25,2.5,3.2,2.5,2.5,3.2,2.5,2.62,3.2,2.3,1.85,1.85,1.95,1.85,1.75,2.05,0.25,2.05,1.8,0,2,1.9,0,2.585,3.242857143,2.389285714
E0,31/08/03,Man City,Arsenal,1,2,A,1,0,H,G Poll,11,10,7,5,12,11,5,5,4,3,0,0,4,3.4,1.8,4.3,3.45,1.75,4.2,3.2,1.7,4.333,3.6,1.615,4.33,3.4,1.8,4.33,3.25,1.72,4.5,3.3,1.66,1.6,2.15,1.8,2,1.5,2.4,1,2.1,1.75,0.5,2.075,1.825,0.5,4.284714286,3.371428571,1.720714286
E0,31/08/03,Southampton,Man United,1,0,H,0,0,D,M Halsey,12,10,5,9,8,10,9,5,1,0,0,0,5,3.4,1.667,4.9,3.5,1.65,4.4,3.3,1.65,5,3.5,1.571,5,3.6,1.67,5,3.4,1.61,5,3.5,1.57,1.65,2.05,1.75,2.05,1.77,2.05,1,2,1.85,0.75,2.075,1.825,0.75,4.9,3.457142857,1.626857143
E0,13/09/03,Arsenal,Portsmouth,1,1,D,1,1,D,A Wiley,12,8,7,2,11,19,7,1,2,3,0,0,1.28,4.5,10,1.27,5,10,1.3,4.2,8,1.222,5,10,1.22,5,10,1.22,5,10,1.22,5,9.5,1.6,2.25,1.61,2.25,1.85,1.95,-1.5,1.9,1.95,-1.5,1.85,2.05,-1.5,1.247428571,4.814285714,9.642857143
E0,13/09/03,Blackburn,Liverpool,1,3,A,1,1,D,N Barry,8,21,5,14,13,11,5,10,2,2,1,0,2.8,3.25,2.3,2.75,3.2,2.4,2.7,3,2.3,2.5,3.2,2.5,2.62,3.2,2.38,2.62,3.2,2.37,2.6,3.1,2.4,1.85,1.85,1.95,1.85,2.05,1.77,0,2.05,1.8,0,2.025,1.875,-1.5,2.655714286,3.164285714,2.378571429
E0,13/09/03,Bolton,Middlesbrough,2,0,H,1,0,H,P Dowd,13,7,8,6,17,14,10,1,3,3,0,0,2.3,3.2,2.87,2.3,3.2,2.9,2.2,3,2.9,2.375,3,2.75,2.2,3.25,2.8,2.25,3.2,2.8,2.25,3.1,2.8,1.95,1.75,2,1.8,1.95,1.85,-0.25,,,,2.1,1.8,-0.25,2.267857143,3.135714286,2.831428571
E0,13/09/03,Charlton,Man United,0,2,A,0,0,D,M Riley,8,14,3,9,19,18,3,3,2,2,1,0,5,3.6,1.61,5.5,3.65,1.57,4.4,3.3,1.65,4.5,3.5,1.615,5.5,3.5,1.53,5.5,3.4,1.57,5,3.5,1.57,1.71,2,1.8,2,1.8,2,1,1.85,2,1,2.1,1.8,0.5,5.057142857,3.492857143,1.587857143
E0,13/09/03,Chelsea,Tottenham,4,2,H,2,1,H,G Poll,12,9,6,3,16,20,10,3,1,4,0,0,1.53,3.6,6,1.5,3.65,6.65,1.55,3.5,4.8,1.533,3.5,5.5,1.44,3.5,7,1.5,3.5,6,1.53,3.25,6,1.8,1.9,1.75,2.05,1.95,1.85,-1.25,2,1.85,-1.25,2.075,1.825,-1.25,1.511857143,3.5,5.992857143
E0,13/09/03,Everton,Newcastle,2,2,D,0,0,D,R Styles,9,4,7,2,20,21,6,3,5,5,1,1,2.37,3.2,2.75,2.4,3.2,2.75,2.3,3,2.7,2.4,3.25,2.5,2.38,3.2,2.62,2.3,3.2,2.7,2.37,3.1,2.62,1.8,1.9,1.9,1.9,1.8,2,0,1.8,2.05,0,1.8,2.1,-1.25,2.36,3.164285714,2.662857143
E0,13/09/03,Southampton,Wolves,2,0,H,1,0,H,U Rennie,15,10,10,3,16,20,7,3,3,5,0,0,1.61,3.4,5.5,1.6,3.55,5.4,1.7,3.2,4.2,1.615,3.25,5,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5,1.85,1.85,1.95,1.85,1.8,2.05,-0.75,1.8,2.05,-0.75,1.85,2.05,-0.75,1.605,3.385714286,5.157142857
E0,14/09/03,Birmingham,Fulham,2,2,D,1,1,D,S Dunn,15,8,9,6,16,21,8,1,1,4,1,1,1.83,3.25,4,1.95,3.25,3.6,2,3.1,3.2,1.833,3,4,1.8,3.4,4.33,1.83,3.3,3.75,1.83,3.2,3.75,1.9,1.79,2.05,1.75,1.9,1.9,-0.5,2.05,1.8,-0.5,2.025,1.875,-0.5,1.867571429,3.214285714,3.804285714
E0,14/09/03,Man City,Aston Villa,4,1,H,0,1,A,M Halsey,17,8,9,4,11,11,4,3,0,1,0,0,1.83,3.25,4,1.95,3.25,3.65,2,3.1,3.2,1.833,3,4,2,3.4,3.5,1.83,3.3,3.75,1.83,3.3,3.6,1.79,1.9,1.9,1.9,1.9,1.9,-0.5,1.95,1.9,-0.5,1.975,1.925,-0.5,1.896142857,3.228571429,3.671428571
E0,15/09/03,Leicester,Leeds,4,0,H,2,0,H,J Winter,19,14,11,2,10,10,9,5,0,2,0,0,2.6,3.2,2.5,2.65,3.2,2.5,2.4,3.2,2.4,2.5,3.2,2.5,2.75,3.4,2.38,2.5,3.2,2.5,2.5,3.1,2.5,1.85,1.85,2,1.8,1.77,2.05,0.25,2.05,1.8,0,2.025,1.875,-0.5,2.557142857,3.214285714,2.468571429
E0,20/09/03,Aston Villa,Charlton,2,1,H,1,0,H,C Foy,15,8,6,3,13,13,10,2,3,2,0,0,1.9,3.25,3.75,1.9,3.3,3.75,1.8,3.1,3.8,1.909,3.2,3.5,1.83,3.25,3.75,1.85,3.25,3.75,1.83,3.2,3.75,1.85,1.85,2,1.8,1.65,2.15,-0.25,1.9,1.95,-0.5,2,1.9,-0.5,1.859857143,3.221428571,3.721428571
