Rk,Nation,# Players,Min,List
1,eng England,159,"245,477","Alan Shearer, Frank Lampard, James Beattie, Kevin Davies, Alan Smith, Michael Owen, Andy Cole, Kevin Phillips, Kevin Nolan, Gareth Barry ..."
2,fr France,44,"65,895","Thierry Henry, Steed Malbranque, Robert Pirès, Nicolas Anelka, Louis Saha, Laurent Robert, Sylvain Distin, Olivier Bernard, Bruno N'Gotty, Youri Djorkaeff ..."
3,ie Ireland,34,"62,029","Robbie Keane, Matt Holland, Paul Butler, Shay Given, Gary Kelly, Dean Kiely, Kenny Cunningham, Mark Kennedy, Stephen Carr, John O'Shea ..."
4,sco Scotland,27,"30,785","Paul Dickov, Alex Rae, Gary Naysmith, Dominic Matteo, Paul Telfer, Colin Cameron, Paul Gallagher, Duncan Ferguson, Kenny Miller, Nigel Quashie ..."
,,,,View Complete Nationalities Table
